song_id,song_name,release_year,artist,artist_id,followers,artist_type,main_genre,artist_popularity,song_popularity,explicit,duration_sec,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo
7BvCDrlYwJ5D9RUqvvs3BT,'Little Drummer Boy',2012, 'Pentatonix',26AHtbjWKiwYzsoGoUZq53,2334119,band,a cappella,73,44,FALSE,255.879,8,1,4,0.3,0.713,0.411,0.0000719,0.0763,-8.24,0.0355,0.626,134.007
1klGbW5a9qTBFUjFfddbmU,"""Can't Sleep Love""",2015, 'Pentatonix',26AHtbjWKiwYzsoGoUZq53,2334119,band,a cappella,73,59,FALSE,173.053,2,1,4,0.0849,0.73,0.433,0,0.169,-7.05,0.0455,0.572,94.596
550rQQCGkrTzvp4SfpOPzx,'Hallelujah',2016, 'Pentatonix',26AHtbjWKiwYzsoGoUZq53,2334119,band,a cappella,73,63,FALSE,268.96,10,1,4,0.454,0.321,0.377,0,0.338,-7.385,0.0361,0.367,119.483
0gzL664PaItwupu0xbSyEV,'Route 66',1984, 'The Manhattan Transfer',2dogRElUKV20C2khRHqjRc,45000,band,a cappella,48,20,FALSE,177.307,5,1,4,0.165,0.564,0.312,0,0.0844,-13.583,0.053,0.4,139.683
7iKNdHwoCTlyI596AMupzd,'Trickle Trickle',1979, 'The Manhattan Transfer',2dogRElUKV20C2khRHqjRc,45000,band,a cappella,48,27,FALSE,142.4,0,1,4,0.149,0.583,0.804,0,0.0876,-8.539,0.226,0.788,182.559
1dXYwIIbdDaW5tKFZUeuPb,'Twilight Zone/Twilight Tone',1979, 'The Manhattan Transfer',2dogRElUKV20C2khRHqjRc,45000,band,a cappella,48,29,FALSE,366.373,2,0,4,0.0517,0.816,0.517,0.023,0.13,-12.278,0.0546,0.757,127.543
7z2lrcW8tG8ietwg2itOKe,'Spice Of Life',1983, 'The Manhattan Transfer',2dogRElUKV20C2khRHqjRc,45000,band,a cappella,48,31,FALSE,222.133,5,1,4,0.143,0.763,0.701,0,0.198,-9.51,0.0461,0.806,109.974
4pKarKccbSe3BzJZFnIsxt,'Operator',1970, 'The Manhattan Transfer',2dogRElUKV20C2khRHqjRc,45000,band,a cappella,48,32,FALSE,192.533,2,1,4,0.462,0.572,0.639,0.00000868,0.324,-8.301,0.0678,0.71,121.853
2KGTNgVuEJpcqPhxRCQhSy,'Boy From New York City',1981, 'The Manhattan Transfer',2dogRElUKV20C2khRHqjRc,45000,band,a cappella,48,39,FALSE,222.16,2,1,4,0.457,0.71,0.633,0.000015,0.0967,-9.376,0.0531,0.702,151.522
2l9kLsdCm6WNnwoGlfVIkl,'Baby Come Back To Me',2012, 'The Manhattan Transfer',2dogRElUKV20C2khRHqjRc,45000,band,a cappella,48,4,FALSE,170.267,7,1,4,0.449,0.59,0.35,0,0.273,-19.339,0.0367,0.963,164.25
6YPQ3cY0RppTK1IHLzVURX,'Happy Together',1982, 'The Nylons',6l0IHrGPjoSzh1Qy3w6X1X,4263,band,a cappella,30,9,FALSE,169.76,6,0,4,0.255,0.685,0.605,0.0007,0.123,-7.562,0.0357,0.441,122.289
3YEBkk7we72NhaDZ50p5ll,'Move Any Mountain',1990, 'The Shamen',5E704N5StxMVKpalhaJ5L3,28643,band,acid house,44,23,FALSE,206.4,4,0,4,0.00716,0.64,0.983,0.0000697,0.072,-9.415,0.0553,0.823,121.41
1tI36YWFNZuDJa033aMVSl,'3 A.M. Eternal',1992, 'The KLF',6dYrdRlNZSKaVxYg5IrvCH,27245,band,acid house,39,18,FALSE,192.458,1,1,4,0.00129,0.631,0.907,0.0401,0.904,-11.208,0.0558,0.805,119.259
2aS9u5Bh0PkoeDamlXYDxE,'What Time Is Love?',1992, 'The KLF',6dYrdRlNZSKaVxYg5IrvCH,27245,band,acid house,39,22,FALSE,214.32,6,1,4,0.00187,0.618,0.749,0.0000951,0.213,-9.841,0.0803,0.669,120.099
7uABD1Cd6M8SGA75OxeUqB,'Elevate My Mind',1990," ""Stereo MC's""",1k8VBufn1nBs8LN9n4snc8,56915,band,acid jazz,51,35,FALSE,196.827,9,1,4,0.145,0.844,0.593,0.571,0.129,-14.885,0.0602,0.75,115.148
6Y1HIgqlgYSzMalK6eBiEP,'Step It Up',1992," ""Stereo MC's""",1k8VBufn1nBs8LN9n4snc8,56915,band,acid jazz,51,44,FALSE,301,9,1,4,0.015,0.722,0.829,0.0118,0.0769,-11.96,0.0442,0.871,117.841
1ZoE2naC9ySlPLdBZhS1rM,'Connected',1992," ""Stereo MC's""",1k8VBufn1nBs8LN9n4snc8,56915,band,acid jazz,51,52,FALSE,313,1,0,4,0.0492,0.656,0.816,0.00119,0.105,-10.722,0.0349,0.727,100.646
6E4vhLRYh1pBK9woMCPHTj,'Dream On Dreamer',1994, 'The Brand New Heavies',3DEveX6KVzhPDqq2VRuN14,83693,band,acid jazz,50,26,FALSE,294.867,8,0,4,0.168,0.595,0.894,0.0000188,0.0722,-5.506,0.0404,0.968,94.894
0z1171v11AOVAgqflaOtFU,'Sometimes',1994, 'The Brand New Heavies',3DEveX6KVzhPDqq2VRuN14,83693,band,acid jazz,50,40,FALSE,285.933,9,0,4,0.0214,0.781,0.628,0,0.078,-7.989,0.0333,0.675,96.905
0NuosfSFWrGfERrjr0ltUC,'Queen Of My Soul',2019, 'Average White Band',3tx8fyu3c4OBP5nejYtUOb,201302,band,acid jazz,57,21,FALSE,275.48,10,0,4,0.0553,0.454,0.757,0.000049,0.0653,-7.965,0.0365,0.455,98.67
1jyFhPbKXwWAFEyg4X2ymb,"""Let's Go 'round Again""",1980, 'Average White Band',3tx8fyu3c4OBP5nejYtUOb,201302,band,acid jazz,57,53,FALSE,296.693,11,0,4,0.0797,0.713,0.7,0.000941,0.32,-7.366,0.038,0.961,127.593
1bnWZOo3QJviRK1R0hGlMO,'Alright',2013, 'Jamiroquai',6J7biCazzYhU3gM9j1wfid,1333282,band,acid jazz,71,12,FALSE,262.053,10,0,4,0.00814,0.644,0.864,0.0000272,0.729,-10.922,0.0742,0.344,115.635
0J3MfW6wwIBqC4zjp5AbQL,'Shattered (Turn The Car Around)',2008, 'O.A.R.',1Cq0LAHFfvUTBEtMPXUidI,224192,band,acoustic pop,64,58,FALSE,255.493,11,1,4,0.0175,0.571,0.784,0,0.19,-6.396,0.0352,0.462,105.973
6plKFdrBnKF0y3CRuceTDh,'Faster',2011, 'Matt Nathanson',4NGiEU3Pkd8ASRyQR30jcA,259329,band,acoustic pop,64,48,FALSE,208.28,9,1,4,0.00743,0.742,0.853,0.00000479,0.332,-4.147,0.0393,0.95,107.03
38YgZVHPWOWsKrsCXz6JyP,'Come On Get Higher',2007, 'Matt Nathanson',4NGiEU3Pkd8ASRyQR30jcA,259329,band,acoustic pop,64,70,FALSE,215.173,9,1,4,0.241,0.672,0.623,0,0.0848,-5.699,0.0297,0.617,92.018
3PuoEoC2QYXUJPk1DObFsU,'Change Your Mind',2000, 'Sister Hazel',7m60UAnbgFFNuJbmS6OxTk,172207,band,acoustic pop,58,41,FALSE,259.667,0,1,4,0.0104,0.428,0.785,0,0.102,-4.853,0.0569,0.68,182.352
5fwCxKVai3LszSWFZ9AyA8,'All For You',2017, 'Sister Hazel',7m60UAnbgFFNuJbmS6OxTk,172207,band,acoustic pop,58,57,FALSE,219.813,8,1,4,0.0441,0.615,0.776,0.0000336,0.0828,-5.481,0.0358,0.626,137.11
6dwkFmLUz6hx2CZG2EqLol,'Collide',2003, 'Howie Day',0ekbDNE2eOq8QiaXM34wer,207160,singer,acoustic pop,63,65,FALSE,249.12,11,1,4,0.222,0.636,0.625,0.0000535,0.119,-7.895,0.0277,0.342,93.931
6uBuOIQ8IXwahQav3ueeXt,'Solitude',1995, 'Edwin McCain',0L6Gwm0JDrgIQJfjarWSUR,156267,singer,acoustic pop,62,29,FALSE,270.747,9,1,4,0.63,0.601,0.494,0.00000747,0.132,-10.304,0.0422,0.308,79.976
14J3PO0VnhtcRa31r7Aj1L,'I Could Not Ask For More',1999, 'Edwin McCain',0L6Gwm0JDrgIQJfjarWSUR,156267,singer,acoustic pop,62,54,FALSE,273.573,5,1,4,0.0975,0.507,0.71,0.0000108,0.17,-5.02,0.0291,0.45,134.647
5K7AMlpc4796JRWXb26nCV,"""I'll Be""",1997, 'Edwin McCain',0L6Gwm0JDrgIQJfjarWSUR,156267,singer,acoustic pop,62,68,FALSE,266.533,11,1,3,0.386,0.371,0.609,0,0.104,-5.524,0.0295,0.426,136.526
1KHdq8NK9QxnGjdXb55NiG,'Falling In Love At A Coffee Shop',2009, 'Landon Pigg',1whjlG0NSaQytgDIWz10GS,32696,singer,acoustic pop,49,57,FALSE,244.987,4,1,3,0.2,0.489,0.561,0.0000456,0.179,-7.933,0.0274,0.238,83.457
2ijMU9lYFCvGBzgwJ8Sd8q,'For You I Will (Confidence)',2006, 'Teddy Geiger',1YIpZOfyHXMUgUaxxxgbaC,28468,singer,acoustic pop,44,45,FALSE,228.88,1,0,4,0.0041,0.315,0.751,0,0.0984,-5.74,0.0517,0.272,119.566
732rOEyCLWiMN1jKyNUL4z,'Amazing',2019, 'Josh Kelley',1yLlQimDTRrACa45u50LXW,24644,singer,acoustic pop,44,25,FALSE,225.6,9,1,4,0.0128,0.546,0.852,0,0.128,-5.058,0.0365,0.831,96.907
3VA8T3rNy5V24AXxNK5u9E,'King Of Anything',2010, 'Sara Bareilles',2Sqr0DXoaYABbjBo9HaMkM,1233597,singer,acoustic pop,74,61,FALSE,207.493,1,1,4,0.461,0.676,0.762,0,0.0574,-4.172,0.0351,0.81,119.003
7jJH8F3PHlNvxfqEAAfFDl,'I Choose You',2013, 'Sara Bareilles',2Sqr0DXoaYABbjBo9HaMkM,1233597,singer,acoustic pop,74,65,FALSE,218.573,6,0,4,0.105,0.731,0.572,0.00012,0.133,-7.889,0.0445,0.947,154.038
6Uy6K3KdmUdAfelUp0SeXn,'Brave',2013, 'Sara Bareilles',2Sqr0DXoaYABbjBo9HaMkM,1233597,singer,acoustic pop,74,68,FALSE,220.573,10,0,4,0.00502,0.551,0.836,0.000021,0.0425,-3.838,0.0524,0.758,185.063
4E6cwWJWZw2zWf7VFbH7wf,'Love Song',2007, 'Sara Bareilles',2Sqr0DXoaYABbjBo9HaMkM,1233597,singer,acoustic pop,74,74,FALSE,258.827,2,0,4,0.0208,0.583,0.786,0,0.188,-3.142,0.0301,0.573,123.052
2qESkHBZ2VThboOnosYFBk,'Be OK',2008, 'Ingrid Michaelson',2vm8GdHyrJh2O2MfbQFYG0,598521,singer,acoustic pop,69,56,FALSE,147.68,4,1,4,0.13,0.821,0.773,0,0.116,-6.741,0.0464,0.954,133.053
14sAMwqbuFDSlLKmVBD9MI,'Girls Chase Boys',2014, 'Ingrid Michaelson',2vm8GdHyrJh2O2MfbQFYG0,598521,singer,acoustic pop,69,58,FALSE,221.413,8,1,4,0.031,0.473,0.82,0.0000155,0.0414,-5.702,0.0408,0.678,84.893
43ddJFnP8m3PzNJXiHuiyJ,'The Way I Am',2007, 'Ingrid Michaelson',2vm8GdHyrJh2O2MfbQFYG0,598521,singer,acoustic pop,69,61,FALSE,135.387,5,1,4,0.771,0.877,0.259,0.00000898,0.108,-9.302,0.0427,0.32,119.989
4gwDrsXJPXfCAYFbpUjeCW,'Heartless',2009, 'Kris Allen',2zwHaEmXxX6DTv4i8ajNCM,113735,singer,acoustic pop,49,34,FALSE,222.333,10,0,4,0.133,0.577,0.747,0,0.141,-4.675,0.052,0.502,94.954
1z1oLhuJN2rhZH7qh6gyZG,'No Boundaries',2009, 'Kris Allen',2zwHaEmXxX6DTv4i8ajNCM,113735,singer,acoustic pop,49,36,FALSE,210.093,3,1,4,0.00357,0.449,0.789,0,0.0816,-3.114,0.0351,0.251,141.922
1HfxPaJggVwFsvOtHbVzMz,"""Live Like We're Dying""",2009, 'Kris Allen',2zwHaEmXxX6DTv4i8ajNCM,113735,singer,acoustic pop,49,48,FALSE,212.507,0,1,4,0.0273,0.589,0.893,0,0.343,-2.948,0.0397,0.94,92.011
4L9J2or96xvWhQwWw09fHO,'Mockingbird',2009, 'Rob Thomas',3aBkeBhwadnWMWoVJ2CxJC,439506,singer,acoustic pop,68,44,FALSE,240.32,0,1,4,0.0534,0.571,0.77,0.00000102,0.129,-5.498,0.0314,0.613,141.996
0InW8BolYQOtEilob4C6LO,'Little Wonders',2007, 'Rob Thomas',3aBkeBhwadnWMWoVJ2CxJC,439506,singer,acoustic pop,68,47,FALSE,225.133,9,1,4,0.035,0.259,0.6,0,0.0823,-10.158,0.041,0.306,167.122
3Voz5vnFfMu8nrVP6hIYte,'This Is How A Heart Breaks',2005, 'Rob Thomas',3aBkeBhwadnWMWoVJ2CxJC,439506,singer,acoustic pop,68,48,FALSE,230.96,0,1,4,0.00159,0.605,0.913,0,0.0813,-4.345,0.0376,0.665,139.941
20117nklRrpujknMRpueYQ,'Streetcorner Symphony',2005, 'Rob Thomas',3aBkeBhwadnWMWoVJ2CxJC,439506,singer,acoustic pop,68,49,FALSE,247.827,1,1,4,0.109,0.633,0.886,0,0.0438,-3.892,0.0456,0.753,81.811
7uPQU7uKvsZZ7T9XnpBpFg,'Someday',2009, 'Rob Thomas',3aBkeBhwadnWMWoVJ2CxJC,439506,singer,acoustic pop,68,51,FALSE,247.8,10,1,4,0.0408,0.573,0.905,0,0.113,-5.954,0.0343,0.683,135.943
4faFAhOflLzhfJECveRwva,'Lonely No More',2005, 'Rob Thomas',3aBkeBhwadnWMWoVJ2CxJC,439506,singer,acoustic pop,68,55,FALSE,226.64,9,0,4,0.033,0.551,0.896,0,0.0899,-3.152,0.109,0.858,171.79
02acUMylPHMjJ9miDc9b38,'Ever The Same',2005, 'Rob Thomas',3aBkeBhwadnWMWoVJ2CxJC,439506,singer,acoustic pop,68,57,FALSE,256.6,1,0,4,0.0152,0.435,0.729,0.0000263,0.11,-4.818,0.0307,0.524,188.017
3LtwmK1OfN0dGs9jf3qSjn,'Her Diamonds',2009, 'Rob Thomas',3aBkeBhwadnWMWoVJ2CxJC,439506,singer,acoustic pop,68,58,FALSE,280,7,1,4,0.0159,0.555,0.924,0,0.075,-4.93,0.0604,0.865,87.606
5wizvr1JlRR3XWmKkOmEtV,"""Hollywood's Not America""",2008, 'Ferras',3ZajykUFFll0Xwgal0fQfO,8227,singer,acoustic pop,37,33,FALSE,195.067,5,1,4,0.244,0.478,0.617,0,0.131,-6.162,0.0343,0.598,156.058
3IpG4SvqxHmbZslvDSIIZP,'Brand New',2015, 'Ben Rector',4AapPt7H6bGH4i7chTulpI,202090,singer,acoustic pop,67,63,FALSE,243.933,9,1,4,0.0026,0.555,0.933,0,0.122,-5.04,0.113,0.421,144.874
5auMzVHFr5Zfw6IbKarZ56,'Breathe (2 AM)',2005, 'Anna Nalick',4LoM3lMauQ540MW9QiyIcR,94666,singer,acoustic pop,55,63,FALSE,279.827,2,1,3,0.417,0.386,0.452,0,0.0881,-7.715,0.0278,0.287,169.837
